iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
0,0.0,3200,3200,3200,3200,3180,20,0,0,0,0,3200
20,3.5577828441966606e-09,3200,3200,3188,3188,3182,6,12,12,12,0,3188
40,6.6541050828467325e-09,3200,3200,3187,3187,3185,2,1,13,13,0,3187
60,9.741438493847275e-09,3200,3200,3187,3187,3185,2,0,13,13,0,3187
80,1.2831930205210199e-08,3200,3199,3186,3186,3185,1,1,13,14,0,3186
100,1.597708247794059e-08,3200,3198,3184,3184,3183,1,2,14,16,0,3184
120,1.9266322128543747e-08,3200,3198,3182,3182,3181,1,2,16,18,0,3182
140,2.2565888379071112e-08,3200,3197,3181,3181,3181,0,1,16,19,0,3181
160,2.587326631512927e-08,3200,3197,3181,3181,3181,0,0,16,19,0,3181
180,2.9198322756603433e-08,3200,3196,3181,3181,3181,0,0,15,19,0,3181
200,3.250577339550975e-08,3200,3192,3181,3181,3181,0,0,11,19,0,3181
220,3.580533828328177e-08,3200,3191,3180,3180,3180,0,1,11,20,0,3180
240,3.910847987235018e-08,3200,3188,3180,3180,3180,0,0,8,20,0,3180
260,4.263142520491618e-08,3200,3188,3180,3180,3180,0,0,8,20,0,3180
280,4.5974514471674794e-08,3200,3188,3180,3180,3180,0,0,8,20,0,3180
300,4.9274004256849966e-08,3200,3187,3180,3180,3180,0,0,7,20,0,3180
320,5.2574807914410184e-08,3200,3186,3180,3180,3180,0,0,6,20,0,3180
340,5.6070808882753476e-08,3200,3186,3180,3180,3180,0,0,6,20,0,3180
360,5.94375104674279e-08,3200,3186,3180,3180,3180,0,0,6,20,0,3180
380,6.273694200460009e-08,3200,3186,3180,3180,3180,0,0,6,20,0,3180
400,6.60368182419062e-08,3200,3185,3180,3180,3180,0,0,5,20,0,3180
420,6.950755211492626e-08,3200,3184,3180,3180,3180,0,0,4,20,0,3180
440,7.290009700943034e-08,3200,3184,3180,3180,3180,0,0,4,20,0,3180
460,7.619947551197862e-08,3200,3183,3180,3180,3180,0,0,3,20,0,3180
480,7.949898524910855e-08,3200,3183,3180,3180,3180,0,0,3,20,0,3180
500,8.294388479623025e-08,3200,3183,3180,3180,3180,0,0,3,20,0,3180
520,8.636242324697472e-08,3200,3182,3180,3180,3180,0,0,2,20,0,3180
540,8.96617683380108e-08,3200,3181,3180,3180,3180,0,0,1,20,0,3180
560,9.296111505454032e-08,3200,3181,3180,3180,3180,0,0,1,20,0,3180
580,9.637998400250832e-08,3200,3181,3180,3180,3180,0,0,1,20,0,3180
600,9.982448815955653e-08,3200,3181,3180,3180,3180,0,0,1,20,0,3180
620,1.031238656358745e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
640,1.0642311754282472e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
660,1.0981591030881503e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
680,1.1328621389402056e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
700,1.165858206157671e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
720,1.198849981423332e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
740,1.2325218308906475e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
760,1.267478307229997e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
780,1.3004820744103545e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
800,1.3334731411271863e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
820,1.3669014806871507e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
