iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
0,0.0,3200,3200,3200,3200,3180,20,0,0,0,0,3200
20,1.926744807363098e-09,3200,3200,3175,3175,3173,2,25,25,25,0,3175
40,3.7252172385186562e-09,3200,3200,3174,3174,3174,0,1,26,26,0,3174
60,5.611902543868235e-09,3200,3200,3171,3171,3171,0,3,29,29,0,3171
80,7.3973218027111366e-09,3200,3195,3166,3166,3166,0,5,29,34,0,3166
100,9.19734722950379e-09,3200,3190,3161,3161,3161,0,5,29,39,0,3161
120,1.095755275676713e-08,3200,3186,3152,3152,3151,1,9,34,48,0,3152
140,1.2789545530923134e-08,3200,3184,3144,3144,3144,0,8,40,56,0,3144
160,1.4734551207150532e-08,3200,3178,3140,3140,3140,0,4,38,60,0,3140
180,1.6724813784450106e-08,3200,3175,3136,3136,3135,1,4,39,64,0,3136
200,1.8724813784450124e-08,3200,3169,3133,3133,3133,0,3,36,67,0,3133
220,2.0542098294807102e-08,3200,3166,3127,3127,3127,0,6,39,73,0,3127
240,2.2512963852222307e-08,3200,3155,3126,3126,3126,0,1,29,74,0,3126
260,2.4472027993352748e-08,3200,3149,3124,3124,3124,0,2,25,76,0,3124
280,2.634937698499713e-08,3200,3145,3123,3123,3123,0,1,22,77,0,3123
300,2.8176624524147926e-08,3200,3144,3121,3121,3121,0,2,23,79,0,3121
320,3.0176624524147944e-08,3200,3136,3120,3120,3120,0,1,16,80,0,3120
340,3.217662452414796e-08,3200,3131,3119,3119,3119,0,1,12,81,0,3119
360,3.417515217835284e-08,3200,3130,3119,3119,3119,0,0,11,81,0,3119
380,3.617515217835286e-08,3200,3127,3119,3119,3119,0,0,8,81,0,3119
400,3.817515217835288e-08,3200,3125,3118,3118,3118,0,1,7,82,0,3118
420,4.016627960271038e-08,3200,3124,3117,3117,3117,0,1,7,83,0,3117
440,4.21662796027104e-08,3200,3123,3115,3115,3115,0,2,8,85,0,3115
460,4.4166279602710416e-08,3200,3122,3113,3113,3113,0,2,9,87,0,3113
480,4.6166279602710434e-08,3200,3121,3113,3113,3113,0,0,8,87,0,3113
500,4.813669305329051e-08,3200,3120,3113,3113,3113,0,0,7,87,0,3113
520,5.013660148731152e-08,3200,3118,3112,3112,3112,0,1,6,88,0,3112
540,5.2136601487311535e-08,3200,3116,3111,3111,3111,0,1,5,89,0,3111
560,5.4136394019645324e-08,3200,3116,3111,3111,3111,0,0,5,89,0,3111
580,5.5780857145867444e-08,3200,3115,3110,3110,3110,0,1,5,90,0,3110
600,5.749361578748941e-08,3200,3114,3110,3110,3110,0,0,4,90,0,3110
620,5.9493615787489426e-08,3200,3113,3109,3109,3109,0,1,4,91,0,3109
640,6.149361578748932e-08,3200,3112,3109,3109,3109,0,0,3,91,0,3109
660,6.349361578748921e-08,3200,3112,3109,3109,3109,0,0,3,91,0,3109
680,6.54936157874891e-08,3200,3112,3107,3107,3107,0,2,5,93,0,3107
700,6.749361578748898e-08,3200,3112,3107,3107,3107,0,0,5,93,0,3107
720,6.949361578748887e-08,3200,3112,3106,3106,3106,0,1,6,94,0,3106
740,7.149361578748875e-08,3200,3111,3106,3106,3106,0,0,5,94,0,3106
