iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
0,0.0,500,500,500,500,499,1,0,0,0,0,500
20,2.0019015259962277e-11,500,500,500,500,499,1,0,0,0,0,500
40,3.371440341100235e-11,500,500,500,500,499,1,0,0,0,0,500
60,5.1771966765323895e-11,500,500,500,500,499,1,0,0,0,0,500
80,7.15127847504524e-11,500,500,500,500,499,1,0,0,0,0,500
100,8.95761972069357e-11,500,500,500,500,499,1,0,0,0,0,500
120,1.0646897857930527e-10,500,500,500,500,499,1,0,0,0,0,500
140,1.246788103317585e-10,500,500,500,500,499,1,0,0,0,0,500
160,1.4252740965131733e-10,500,500,500,500,499,1,0,0,0,0,500
180,1.594280794936734e-10,500,500,500,500,499,1,0,0,0,0,500
200,1.7491472302223907e-10,500,500,500,500,499,1,0,0,0,0,500
220,1.9355855540611417e-10,500,500,500,500,499,1,0,0,0,0,500
240,2.1013323949855508e-10,500,500,500,500,499,1,0,0,0,0,500
260,2.258248231752231e-10,500,500,500,500,499,1,0,0,0,0,500
280,2.429569090676414e-10,500,499,499,499,498,1,0,0,0,1,499
300,2.618407105051017e-10,500,499,499,499,498,1,0,0,0,1,499
320,2.8059118884623844e-10,500,499,499,499,498,1,0,0,0,1,499
340,2.987349517389373e-10,500,499,499,499,498,1,0,0,0,1,499
360,3.181465173076125e-10,500,499,499,499,498,1,0,0,0,1,499
380,3.367520773652482e-10,500,498,498,498,497,1,0,0,0,2,498
400,3.5444604707821965e-10,500,498,498,498,497,1,0,0,0,2,498
420,3.7220416033153357e-10,500,498,498,498,497,1,0,0,0,2,498
440,3.88873184788561e-10,500,498,498,498,497,1,0,0,0,2,498
460,4.060307224388857e-10,500,497,497,497,497,0,0,0,0,3,497
480,4.236367607308228e-10,500,496,496,496,496,0,0,0,0,4,496
500,4.41663673817171e-10,500,495,495,495,495,0,0,0,0,5,495
520,4.5973610343488327e-10,500,495,495,495,495,0,0,0,0,5,495
540,4.772056056355682e-10,500,495,494,494,494,0,1,1,1,5,494
560,4.94689127336558e-10,500,495,494,494,494,0,0,1,1,5,494
580,5.108217394352744e-10,500,495,494,494,494,0,0,1,1,5,494
600,5.253431734800353e-10,500,495,494,494,494,0,0,1,1,5,494
620,5.420089719183468e-10,500,495,494,494,494,0,0,1,1,5,494
640,5.591493606899859e-10,500,495,494,494,494,0,0,1,1,5,494
660,5.755912845156576e-10,500,495,494,494,494,0,0,1,1,5,494
680,5.933921881801899e-10,500,495,494,494,494,0,0,1,1,5,494
700,6.120881828810049e-10,500,494,493,493,493,0,0,1,1,6,493
720,6.302841125470461e-10,500,494,493,493,493,0,0,1,1,6,493
740,6.482929234707918e-10,500,494,493,493,493,0,0,1,1,6,493
760,6.657673888122735e-10,500,494,493,493,493,0,0,1,1,6,493
780,6.813119399716857e-10,500,493,492,492,492,0,0,1,1,7,492
800,6.985388438704945e-10,500,492,491,491,491,0,0,1,1,8,491
820,7.15134397081578e-10,500,492,491,491,491,0,0,1,1,8,491
840,7.316584254185738e-10,500,491,490,490,490,0,0,1,1,9,490
860,7.488061260871956e-10,500,489,488,488,488,0,0,1,1,11,488
880,7.660117854015707e-10,500,488,487,487,487,0,0,1,1,12,487
900,7.82805351630534e-10,500,487,486,486,486,0,0,1,1,13,486
920,7.982584669296403e-10,500,487,486,486,486,0,0,1,1,13,486
