iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
0,0.0,499,499,499,499,497,2,0,0,0,0,499
20,2.0019015259962277e-11,499,487,487,487,487,0,0,0,0,12,487
40,3.371440341100235e-11,499,478,478,478,478,0,0,0,0,21,478
60,5.1771966765323895e-11,499,468,465,465,465,0,3,3,3,31,465
80,7.15127847504524e-11,499,466,462,462,462,0,1,4,4,33,462
100,8.95761972069357e-11,499,462,459,459,459,0,0,3,4,36,459
120,1.0646897857930527e-10,499,456,454,454,454,0,0,2,4,41,454
140,1.246788103317585e-10,499,456,453,453,453,0,1,3,5,41,453
160,1.4252740965131733e-10,499,455,453,453,453,0,0,2,5,41,453
180,1.594280794936734e-10,499,453,452,452,452,0,0,1,5,42,452
200,1.7491472302223907e-10,499,452,451,451,451,0,0,1,5,43,451
220,1.9355855540611417e-10,499,448,447,447,447,0,0,1,5,47,447
240,2.1013323949855508e-10,499,447,447,447,447,0,0,0,5,47,447
260,2.258248231752231e-10,499,447,447,447,447,0,0,0,5,47,447
280,2.429569090676414e-10,499,447,446,446,446,0,1,1,6,47,446
300,2.618407105051017e-10,499,447,445,445,445,0,1,2,7,47,445
320,2.8059118884623844e-10,499,446,444,444,444,0,0,2,7,48,444
340,2.987349517389373e-10,499,445,444,444,444,0,0,1,7,48,444
360,3.181465173076125e-10,499,445,444,444,444,0,0,1,7,48,444
380,3.367520773652482e-10,499,444,444,444,444,0,0,0,7,48,444
400,3.5444604707821965e-10,499,444,444,444,444,0,0,0,7,48,444
420,3.7220416033153357e-10,499,444,443,443,443,0,1,1,8,48,443
440,3.88873184788561e-10,499,444,443,443,443,0,0,1,8,48,443
460,4.060307224388857e-10,499,443,442,442,442,0,0,1,8,49,442
480,4.236367607308228e-10,499,442,441,441,441,0,0,1,8,50,441
500,4.41663673817171e-10,499,441,438,438,438,0,2,3,10,51,438
520,4.5973610343488327e-10,499,439,437,437,437,0,0,2,10,52,437
540,4.772056056355682e-10,499,437,435,435,435,0,0,2,10,54,435
560,4.94689127336558e-10,499,437,435,435,435,0,0,2,10,54,435
580,5.108217394352744e-10,499,436,433,433,433,0,1,3,11,55,433
600,5.253431734800353e-10,499,434,432,432,432,0,0,2,11,56,432
620,5.420089719183468e-10,499,433,431,431,431,0,0,2,11,57,431
640,5.591493606899859e-10,499,430,428,428,428,0,0,2,11,60,428
660,5.755912845156576e-10,499,430,428,428,428,0,0,2,11,60,428
680,5.933921881801899e-10,499,428,426,426,426,0,0,2,11,62,426
700,6.120881828810049e-10,499,428,426,426,426,0,0,2,11,62,426
720,6.302841125470461e-10,499,428,426,426,426,0,0,2,11,62,426
740,6.482929234707918e-10,499,427,425,425,425,0,0,2,11,63,425
760,6.657673888122735e-10,499,426,424,424,424,0,1,2,12,63,424
780,6.813119399716857e-10,499,425,424,424,424,0,0,1,12,63,424
800,6.985388438704945e-10,499,425,424,424,424,0,0,1,12,63,424
820,7.15134397081578e-10,499,425,423,423,423,0,1,2,13,63,423
840,7.316584254185738e-10,499,425,423,423,423,0,0,2,13,63,423
860,7.488061260871956e-10,499,425,422,422,422,0,1,3,14,63,422
880,7.660117854015707e-10,499,424,422,422,422,0,0,2,14,63,422
900,7.82805351630534e-10,499,422,420,420,420,0,0,2,14,65,420
920,7.982584669296403e-10,499,422,420,420,420,0,0,2,14,65,420
940,8.134082431674179e-10,499,421,419,419,419,0,0,2,14,66,419
960,8.276416271160679e-10,499,421,416,416,416,0,3,5,17,66,416
980,8.422031531686014e-10,499,420,416,416,416,0,0,4,17,66,416
1000,8.606641238618554e-10,499,416,412,412,412,0,1,4,18,69,412
1020,8.792201940384462e-10,499,414,412,412,412,0,0,2,18,69,412
1040,8.975184520163132e-10,499,413,410,410,410,0,1,3,19,70,410
1060,9.151295532323286e-10,499,413,410,410,410,0,0,3,19,70,410
1080,9.32218403015102e-10,499,412,410,410,410,0,0,2,19,70,410
1100,9.4869290648028e-10,499,410,408,408,408,0,0,2,19,72,408
1120,9.640099574734696e-10,499,409,407,407,407,0,0,2,19,73,407
1140,9.81197006614624e-10,499,404,401,401,401,0,1,3,20,78,401
1160,9.981292626203175e-10,499,403,400,400,400,0,0,3,20,79,400
1180,1.0151307882168705e-09,499,401,399,399,399,0,0,2,20,80,399
1200,1.0333993239915169e-09,499,400,397,397,397,0,1,3,21,81,397
1220,1.0515404335855286e-09,499,398,397,397,397,0,0,1,21,81,397
1240,1.0674515529328017e-09,499,396,395,395,395,0,0,1,21,83,395
1260,1.0853668108251075e-09,499,395,394,394,394,0,0,1,21,84,394
1280,1.102416634101158e-09,499,394,392,392,392,0,1,2,22,85,392
1300,1.118716499190573e-09,499,394,391,391,391,0,1,3,23,85,391
1320,1.1375211713812217e-09,499,393,389,389,389,0,1,4,24,86,389
1340,1.1550600553293276e-09,499,389,384,384,384,0,2,5,26,89,384
1360,1.1724367867483302e-09,499,388,383,383,383,0,0,5,26,90,383
1380,1.1908785018047154e-09,499,386,379,379,379,0,3,7,29,91,379
1400,1.2088114299707733e-09,499,385,378,378,378,0,0,7,29,92,378
1420,1.225542024207401e-09,499,385,378,378,378,0,0,7,29,92,378
1440,1.241841145994406e-09,499,384,377,377,377,0,1,7,30,92,377
1460,1.2596707331353011e-09,499,381,377,377,377,0,0,4,30,92,377
1480,1.2788711481989384e-09,499,380,374,374,374,0,2,6,32,93,374
1500,1.2979579403021365e-09,499,380,374,374,374,0,0,6,32,93,374
1520,1.315557960046723e-09,499,380,373,373,373,0,1,7,33,93,373
1540,1.3346092757750736e-09,499,377,369,369,369,0,1,8,34,96,369
1560,1.3550016152360052e-09,499,375,368,368,368,0,0,7,34,97,368
1580,1.37368704939718e-09,499,371,366,366,366,0,0,5,34,99,366
1600,1.3931431965731713e-09,499,368,363,363,363,0,0,5,34,102,363
1620,1.4114514746874957e-09,499,364,359,359,359,0,1,5,35,105,359
1640,1.4290674312651258e-09,499,362,358,358,358,0,0,4,35,106,358
1660,1.4476751002955748e-09,499,353,350,350,350,0,0,3,35,114,350
1680,1.4652721135191402e-09,499,353,349,349,349,0,1,4,36,114,349
1700,1.4831374925530397e-09,499,348,344,344,344,0,0,4,36,119,344
1720,1.4987445112805566e-09,499,346,341,341,341,0,1,5,37,121,341
1740,1.515092293362242e-09,499,345,340,340,340,0,0,5,37,122,340
1760,1.5325783761828805e-09,499,344,338,338,338,0,1,6,38,123,338
1780,1.5518217949312013e-09,499,338,332,332,332,0,0,6,38,129,332
1800,1.5719258492918754e-09,499,335,329,329,329,0,0,6,38,132,329
1820,1.5912090342926062e-09,499,332,327,327,327,0,0,5,38,134,327
1840,1.6119665492839899e-09,499,331,326,326,326,0,0,5,38,135,326
1860,1.6324368669172568e-09,499,329,323,323,323,0,1,6,39,137,323
1880,1.6522856140969362e-09,499,325,318,318,318,0,1,7,40,141,318
